,datetime,open,high,low,close,volume,adj_close
2020-01-10 02:00:00,1578614400000,137.73,137.98,137.05,137.16,9709.52399,137.16
2020-01-10 03:00:00,1578618000000,137.17,137.42,136.72,136.9,5651.20419,136.9
2020-01-10 04:00:00,1578621600000,136.91,137.18,136.42,136.54,7727.91107,136.54
2020-01-10 05:00:00,1578625200000,136.55,136.98,136.32,136.98,8204.96574,136.98
2020-01-10 06:00:00,1578628800000,136.99,137.14,136.02,136.4,8244.33068,136.4
2020-01-10 07:00:00,1578632400000,136.37,136.47,135.32,135.78,11173.77625,135.78
2020-01-10 08:00:00,1578636000000,135.81,136.73,135.69,136.62,13302.71655,136.62
2020-01-10 09:00:00,1578639600000,136.6,136.68,136.17,136.63,6676.59405,136.63
2020-01-10 10:00:00,1578643200000,136.62,136.64,135.49,136.06,10714.91578,136.06
2020-01-10 11:00:00,1578646800000,136.06,136.4,135.79,136.02,11143.16559,136.02
2020-01-10 12:00:00,1578650400000,136.04,136.82,135.34,136.82,16882.53094,136.82
2020-01-10 13:00:00,1578654000000,136.82,139.03,136.77,138.43,31743.20849,138.43
2020-01-10 14:00:00,1578657600000,138.42,139.88,138.05,139.86,18913.1174,139.86
2020-01-10 15:00:00,1578661200000,139.83,139.95,138.7,138.78,16366.80382,138.78
2020-01-10 16:00:00,1578664800000,138.76,140.29,138.65,140.22,22059.08327,140.22
2020-01-10 17:00:00,1578668400000,140.24,143.0,139.84,142.51,42427.16682,142.51
2020-01-10 18:00:00,1578672000000,142.53,143.62,140.75,141.1,43218.1093,141.1
2020-01-10 19:00:00,1578675600000,141.1,142.04,140.62,141.99,17667.36001,141.99
2020-01-10 20:00:00,1578679200000,141.98,145.17,141.98,142.64,44568.43173,142.64
2020-01-10 21:00:00,1578682800000,142.64,144.7,142.4,143.42,22752.04714,143.42
2020-01-10 22:00:00,1578686400000,143.42,144.04,143.06,143.21,10825.80028,143.21
2020-01-10 23:00:00,1578690000000,143.19,143.9,142.64,142.88,10474.4309,142.88
2020-01-11 00:00:00,1578693600000,142.89,143.1,141.6,142.88,6732.22459,142.88
2020-01-11 01:00:00,1578697200000,142.92,145.0,142.63,144.84,12224.17649,144.84
2020-01-11 02:00:00,1578700800000,144.83,144.9,143.24,143.55,14813.47494,143.55
2020-01-11 03:00:00,1578704400000,143.56,145.33,143.51,144.14,23913.63931,144.14
2020-01-11 04:00:00,1578708000000,144.15,144.5,143.32,143.85,12184.59213,143.85
2020-01-11 05:00:00,1578711600000,143.84,143.87,142.8,143.47,9694.13301,143.47
2020-01-11 06:00:00,1578715200000,143.47,144.05,142.82,143.2,6921.80782,143.2
2020-01-11 07:00:00,1578718800000,143.2,143.2,142.2,142.89,8562.37493,142.89
2020-01-11 08:00:00,1578722400000,142.9,143.6,142.09,142.89,10331.48125,142.89
2020-01-11 09:00:00,1578726000000,142.88,143.8,142.76,142.93,14563.75914,142.93
2020-01-11 10:00:00,1578729600000,142.93,143.39,142.53,142.75,9212.42225,142.75
2020-01-11 11:00:00,1578733200000,142.75,144.0,142.69,143.79,13258.51535,143.79
2020-01-11 12:00:00,1578736800000,143.77,143.79,142.75,142.89,13706.11088,142.89
2020-01-11 13:00:00,1578740400000,142.9,143.33,142.36,142.63,11748.76348,142.63
2020-01-11 14:00:00,1578744000000,142.63,142.94,142.1,142.71,5180.67862,142.71
2020-01-11 15:00:00,1578747600000,142.71,143.69,142.5,143.55,8592.37093,143.55
2020-01-11 16:00:00,1578751200000,143.55,143.72,142.53,142.54,11918.92787,142.54
2020-01-11 17:00:00,1578754800000,142.58,143.62,142.36,143.41,10307.37428,143.41
2020-01-11 18:00:00,1578758400000,143.41,146.8,142.6,146.34,42796.01436,146.34
2020-01-11 19:00:00,1578762000000,146.4,148.05,145.78,146.53,32709.00396,146.53
2020-01-11 20:00:00,1578765600000,146.53,147.11,145.8,146.64,12923.1563,146.64
2020-01-11 21:00:00,1578769200000,146.66,147.11,145.84,146.29,8259.9564,146.29
2020-01-11 22:00:00,1578772800000,146.27,147.09,145.19,145.89,11781.52643,145.89
2020-01-11 23:00:00,1578776400000,145.87,147.65,143.0,143.86,30934.79995,143.86
2020-01-12 00:00:00,1578780000000,143.79,144.23,142.23,143.36,20039.09933,143.36
2020-01-12 01:00:00,1578783600000,143.36,143.4,142.31,142.38,23996.59647,142.38
2020-01-12 02:00:00,1578787200000,142.4,143.65,141.76,143.23,19069.1292,143.23
2020-01-12 03:00:00,1578790800000,143.22,143.95,142.88,143.28,14120.21344,143.28
2020-01-12 04:00:00,1578794400000,143.28,144.5,143.03,144.1,11492.30955,144.1
2020-01-12 05:00:00,1578798000000,144.1,144.46,143.51,143.93,6139.199,143.93
2020-01-12 06:00:00,1578801600000,143.97,144.21,143.36,143.59,4608.37486,143.59
2020-01-12 07:00:00,1578805200000,143.59,144.15,143.48,144.1,5655.03547,144.1
2020-01-12 08:00:00,1578808800000,144.1,145.88,144.1,144.26,23757.78825,144.26
2020-01-12 09:00:00,1578812400000,144.25,144.92,144.24,144.54,8205.55258,144.54
2020-01-12 10:00:00,1578816000000,144.55,145.4,144.5,144.83,9116.08466,144.83
2020-01-12 11:00:00,1578819600000,144.86,145.07,144.12,144.41,6748.69594,144.41
2020-01-12 12:00:00,1578823200000,144.39,144.43,143.2,143.55,11627.31016,143.55
2020-01-12 13:00:00,1578826800000,143.51,143.8,143.3,143.48,6078.44462,143.48
2020-01-12 14:00:00,1578830400000,143.48,144.21,143.36,143.67,8950.86017,143.67
2020-01-12 15:00:00,1578834000000,143.7,145.28,143.33,145.17,11179.11562,145.17
2020-01-12 16:00:00,1578837600000,145.13,145.4,143.68,144.2,11165.36221,144.2
2020-01-12 17:00:00,1578841200000,144.19,145.17,144.11,144.92,8180.47686,144.92
2020-01-12 18:00:00,1578844800000,144.93,145.55,143.8,143.95,15130.99407,143.95
2020-01-12 19:00:00,1578848400000,143.95,145.61,143.57,144.18,15711.82027,144.18
2020-01-12 20:00:00,1578852000000,144.24,144.76,144.2,144.63,7171.97563,144.63
2020-01-12 21:00:00,1578855600000,144.64,145.0,144.28,144.46,4485.31931,144.46
2020-01-12 22:00:00,1578859200000,144.46,144.93,144.39,144.74,4168.0006,144.74
2020-01-12 23:00:00,1578862800000,144.74,144.84,144.31,144.43,2034.80402,144.43
2020-01-13 00:00:00,1578866400000,144.4,145.49,144.37,145.43,4389.65053,145.43
2020-01-13 01:00:00,1578870000000,145.44,146.6,144.72,146.54,10355.34435,146.54
2020-01-13 02:00:00,1578873600000,146.56,147.0,144.69,144.99,15627.41136,144.99
2020-01-13 03:00:00,1578877200000,145.01,145.44,144.9,145.31,7643.31669,145.31
2020-01-13 04:00:00,1578880800000,145.31,145.52,142.57,142.92,20305.44113,142.92
2020-01-13 05:00:00,1578884400000,142.95,143.88,142.59,143.38,11996.84568,143.38
2020-01-13 06:00:00,1578888000000,143.39,144.03,143.04,143.85,5803.70533,143.85
2020-01-13 07:00:00,1578891600000,143.85,143.89,143.08,143.4,5109.85033,143.4
2020-01-13 08:00:00,1578895200000,143.4,143.73,142.27,142.42,10192.68534,142.42
2020-01-13 09:00:00,1578898800000,142.46,143.23,142.3,142.87,8216.14182,142.87
2020-01-13 10:00:00,1578902400000,142.88,143.64,142.54,143.62,8884.36442,143.62
2020-01-13 11:00:00,1578906000000,143.57,143.61,142.91,143.31,9593.21339,143.31
2020-01-13 12:00:00,1578909600000,143.28,144.44,143.0,143.97,14370.83589,143.97
2020-01-13 13:00:00,1578913200000,144.01,144.13,142.77,142.77,8257.92672,142.77
2020-01-13 14:00:00,1578916800000,142.76,143.3,142.61,143.16,10783.61538,143.16
2020-01-13 15:00:00,1578920400000,143.16,143.74,142.82,142.93,9374.28904,142.93
2020-01-13 16:00:00,1578924000000,142.93,143.15,142.6,142.91,5448.71405,142.91
2020-01-13 17:00:00,1578927600000,142.91,143.19,142.77,142.83,4411.01545,142.83
2020-01-13 18:00:00,1578931200000,142.83,143.5,142.55,143.45,7267.69425,143.45
